date, value
9/22/16,47.65
9/23/16,45.89
9/26/16,47.35
9/27/16,45.97
9/28/16,48.69
9/29/16,49.24
9/30/16,49.06
10/3/16,50.89
10/4/16,50.87
10/5/16,51.86
10/6/16,52.51
10/7/16,51.93
10/10/16,53.14
10/11/16,52.41
10/12/16,51.81
10/13/16,52.03
10/14/16,51.95
10/17/16,51.52
10/18/16,51.68
10/19/16,52.67
10/20/16,51.38
10/21/16,51.78
10/24/16,51.46
10/25/16,50.79
10/26/16,49.98
10/27/16,50.47
10/28/16,49.71
10/31/16,48.3
11/1/16,48.14
11/2/16,46.86
11/3/16,46.35
11/4/16,45.58
11/7/16,46.15
11/8/16,46.04
11/9/16,46.36
11/10/16,45.84
11/11/16,44.75
11/14/16,44.43
11/15/16,46.95
11/16/16,46.63
11/17/16,46.49
11/18/16,46.86
11/21/16,48.9
11/22/16,49.12
11/23/16,48.95
11/24/16,49
11/25/16,47.24
11/28/16,48.24
11/29/16,46.38
11/30/16,50.47
12/1/16,53.94
12/2/16,54.46
12/5/16,54.94
12/6/16,53.93
12/7/16,53
12/8/16,53.89
12/9/16,54.33
12/12/16,55.69
12/13/16,55.72
12/14/16,53.9
12/15/16,54.02
12/16/16,55.21
12/19/16,54.92
12/20/16,55.35
12/21/16,54.46
12/22/16,55.05
12/23/16,55.16
12/27/16,56.09
12/28/16,56.22
12/29/16,56.14
12/30/16,56.82
1/2/17,56.82
1/3/17,55.47
1/4/17,56.46
1/5/17,56.89
1/6/17,57.1
1/9/17,54.94
1/10/17,53.64
1/11/17,55.1
1/12/17,56.01
1/13/17,55.45
1/16/17,55.86
1/17/17,55.47
1/18/17,53.92
1/19/17,54.16
1/20/17,55.49
1/23/17,55.23
1/24/17,55.44
1/25/17,55.08
1/26/17,56.24
1/27/17,55.52
1/30/17,55.23
1/31/17,55.7
2/1/17,56.8
2/2/17,56.56
2/3/17,56.81
2/6/17,55.72
2/7/17,55.05
2/8/17,55.12
2/9/17,55.63
2/10/17,56.7
2/13/17,55.59
2/14/17,55.97
2/15/17,55.75
2/16/17,55.65
2/17/17,55.81
2/20/17,56.18
2/21/17,56.66
2/22/17,55.84
2/23/17,56.58
2/24/17,55.99
2/27/17,55.93
2/28/17,55.59
3/1/17,56.36
3/2/17,55.08
3/3/17,55.9
3/6/17,56.01
3/7/17,55.92
3/8/17,53.11
3/9/17,52.19
3/10/17,51.37
3/13/17,51.35
3/14/17,50.92
3/15/17,51.81
3/16/17,51.74
3/17/17,51.76
3/20/17,51.62
3/21/17,50.96
3/22/17,50.64
3/23/17,50.56
3/24/17,50.8
3/27/17,50.75
3/28/17,51.33
3/29/17,52.42
3/30/17,52.96
3/31/17,52.83
4/3/17,53.12
4/4/17,54.17
4/5/17,54.36
4/6/17,54.89
4/7/17,55.24
4/10/17,55.98
4/11/17,56.23
4/12/17,55.86
4/13/17,55.89
4/17/17,55.36
4/18/17,54.89
4/19/17,52.93
4/20/17,52.99
4/21/17,51.96
4/24/17,51.6
4/25/17,52.1
4/26/17,51.82
4/27/17,51.44
4/28/17,51.73
5/1/17,51.52
5/2/17,50.46
5/3/17,50.79
5/4/17,48.38
5/5/17,49.1
5/8/17,49.34
5/9/17,48.73
5/10/17,50.22
5/11/17,50.77
5/12/17,50.84
5/15/17,51.82
5/16/17,51.65
5/17/17,52.21
5/18/17,52.51
5/19/17,53.61
5/22/17,53.87
5/23/17,54.15
5/24/17,53.96
5/25/17,51.46
5/26/17,52.15
5/29/17,52.29
5/30/17,51.84
5/31/17,50.31
6/1/17,50.63
6/2/17,49.95
6/5/17,49.47
6/6/17,50.12
6/7/17,48.06
6/8/17,47.86
6/9/17,48.15
6/12/17,48.29
6/13/17,48.72
6/14/17,47
6/15/17,46.92
6/16/17,47.37
6/19/17,46.91
6/20/17,46.02
6/21/17,44.82
6/22/17,45.22
6/23/17,45.54
6/26/17,45.83
6/27/17,46.65
6/28/17,47.31
6/29/17,47.42
6/30/17,47.92
7/3/17,49.68
7/4/17,49.61
7/5/17,47.79
7/6/17,48.11
7/7/17,46.71
7/10/17,46.88
7/11/17,47.52
7/12/17,47.74
7/13/17,48.42
7/14/17,48.91
7/17/17,48.42
7/18/17,48.84
7/19/17,49.7
7/20/17,49.3
7/21/17,48.06
7/24/17,48.6
7/25/17,50.2
7/26/17,50.97
7/27/17,51.49
7/28/17,52.52
7/31/17,52.65
8/1/17,51.78
8/2/17,52.36
8/3/17,52.01
8/4/17,52.42
8/7/17,52.37
8/8/17,52.14
8/9/17,52.7
8/10/17,51.9
8/11/17,52.1
8/14/17,50.73
8/15/17,50.8
8/16/17,50.27
8/17/17,51.03
8/18/17,52.72
8/21/17,51.66
8/22/17,51.87
8/23/17,52.57
8/24/17,52.04
8/25/17,52.41
8/28/17,51.89
8/29/17,52
8/30/17,50.86
8/31/17,52.38
9/1/17,52.75
9/4/17,52.34
9/5/17,53.38
9/6/17,54.2
9/7/17,54.49
9/8/17,53.78
9/11/17,53.84
9/12/17,54.27
9/13/17,55.16
9/14/17,55.47
9/15/17,55.62
9/18/17,55.48
9/19/17,55.14
9/20/17,56.29
9/21/17,56.43
9/22/17,56.86
9/25/17,59.02
9/26/17,58.44
9/27/17,57.9
9/28/17,57.41
9/29/17,57.54
10/2/17,56.12
10/3/17,56
10/4/17,55.8
10/5/17,57
10/6/17,55.62
10/9/17,55.79
10/10/17,56.61
10/11/17,56.94
10/12/17,56.25
10/13/17,57.17
10/16/17,57.82
10/17/17,57.88
10/18/17,58.15
10/19/17,57.23
10/20/17,57.75
10/23/17,57.37
10/24/17,58.33
10/25/17,58.44
10/26/17,59.3
10/27/17,60.44
10/30/17,60.9
10/31/17,61.37
11/1/17,60.49
11/2/17,60.62
11/3/17,62.07
11/6/17,64.27
11/7/17,63.69
11/8/17,63.49
11/9/17,63.93
11/10/17,63.52
11/13/17,63.16
11/14/17,60.91
11/15/17,61.25
11/16/17,61.18
11/17/17,61.34
11/20/17,61.34
11/21/17,62.28
11/22/17,62.92
11/23/17,63.27
11/24/17,63.58
11/27/17,63.25
11/28/17,63.56
11/29/17,63.74
11/30/17,63.53
12/1/17,64.57
12/4/17,63.45
12/5/17,63.45
12/6/17,62.25
12/7/17,62.37
12/8/17,63.86
12/11/17,65.62
12/12/17,64.96
12/13/17,63.66
12/14/17,63.72
12/15/17,63.81
12/18/17,64.45
12/19/17,63.69
12/20/17,64.43
12/21/17,64.64
12/22/17,64.61
12/27/17,66.03
12/28/17,66.8
12/29/17,66.73
1/2/18,66.65
1/3/18,67.85
1/4/18,68.73
1/5/18,68.01
1/8/18,68.48
1/9/18,69.08
1/10/18,69.79
1/11/18,70.36
1/12/18,69.64
1/15/18,70.31
1/16/18,69.4
1/17/18,69.19
1/18/18,69.48
1/19/18,68.56
1/22/18,69.32
1/23/18,69.81
1/24/18,69.91
1/25/18,71.08
1/26/18,70.08
1/29/18,68.41
1/30/18,67.78
1/31/18,67.78
2/1/18,68.6
2/2/18,67.45
2/5/18,67.69
2/6/18,66.75
2/7/18,65.74
2/8/18,64.26
2/9/18,63.04
2/12/18,62.2
2/13/18,61.94
2/14/18,62.29
2/15/18,62.86
2/16/18,64.3
2/19/18,64.95
2/20/18,64.68
2/21/18,64.81
2/22/18,66.12
2/23/18,67.04
2/26/18,67.96
2/27/18,67.59
2/28/18,66.08
3/1/18,64.23
3/2/18,64.26
3/5/18,65.78
3/6/18,65.67
3/7/18,65.09
3/8/18,63.87
3/9/18,65.19
3/12/18,64.53
3/13/18,64.2
3/14/18,63.61
3/15/18,63.67
3/16/18,64.68
3/19/18,64.82
3/20/18,66
3/21/18,68.15
3/22/18,68.98
3/23/18,69.03
3/26/18,68.81
3/27/18,68.63
3/28/18,68.13
3/29/18,69.02
